,title,abstract
0,"The COVID-19 nephrology compendium: AKI, CKD, ESKD and transplantation","Abstract The pandemic of coronavirus disease 2019 (CoVID-19) has been an unprecedented period. The disease afflicts multiple organ systems, with acute kidney injury (AKI) a major complication in seriously ill patients. The incidence of AKI in patients with CoVID-19 is variable across numerous international studies, but the high incidence of AKI and its associated worse outcomes in the critical care setting are a consistent finding. A multitude of patterns and mechanisms of AKI have been elucidated, and novel strategies to address shortage of renal replacement therapy equipment have been implemented. The disease also has had consequences on longitudinal management of patients with chronic kidney disease and end stage kidney disease. Kidney transplant recipients may be especially susceptible to CoVID-19 as a result of immunosuppression, with preliminary studies demonstrating high mortality rates. Increased surveillance of disease with low threshold for testing and adjustment of immunosuppression regimen during acute periods of illness have been recommended.Keywords: AKI; CKD; CoVID-19; Disparity; ESKD; Transplantation."
1,"COVID-19 and the kidney","Abstract COVID-19 is primarily considered a respiratory illness, but the kidney may be one of the targets of SARS-CoV-2 infection, since the virus enters cells through the angiotensin-converting enzyme 2 receptor, which is found in abundance in the kidney. Information on kidney involvement in COVID-19 is limited but is evolving rapidly. This article discusses the pathogenesis of acute kidney injury (AKI) in COVID-19, its optimal management, and the impact of COVID-19 on patients with chronic kidney disease, patients with end-stage kidney disease on dialysis, and kidney transplant recipients."
2,"Management of acute kidney injury in patients with COVID-19","Abstract The outbreak of coronavirus disease 2019 (COVID-19) has rapidly evolved into a global pandemic. Most patients with COVID-19 have mild symptoms, but about 5% develop severe symptoms, which can include acute respiratory distress syndrome, septic shock, and multiple organ failure. Kidney involvement is frequent, with clinical presentation ranging from mild proteinuria to progressive acute kidney injury (AKI) necessitating renal replacement therapy (RRT). An understanding of the pathophysiology and mechanisms of kidney damage and AKI in the setting of critical illness and COVID-19 is emerging, although further research is needed to identify patients at risk of AKI and to guide management strategies. As no specific treatment options exist for AKI secondary to COVID-19, intensive care is largely supportive. Current approaches to prevention and management of AKI, and identification of potential indications for use of RRT and sequential extracorporeal therapies, are based mainly on clinical experience, and AKI strategies are adapted empirically to patients with COVID-19. International collaborative and cross-disciplinary research is needed to obtain adequate evidence to support current clinical approaches and to develop new approaches to management."
3,"AKI in Hospitalized Patients with and without COVID-19: A Comparison Study","Abstract Background: Reports from centers treating patients with coronavirus disease 2019 (COVID-19) have noted that such patients frequently develop AKI. However, there have been no direct comparisons of AKI in hospitalized patients with and without COVID-19 that would reveal whether there are aspects of AKI risk, course, and outcomes unique to this infection.Methods: In a retrospective observational study, we evaluated AKI incidence, risk factors, and outcomes for 3345 adults with COVID-19 and 1265 without COVID-19 who were hospitalized in a large New York City health system and compared them with a historical cohort of 9859 individuals hospitalized a year earlier in the same health system. We also developed a model to identify predictors of stage 2 or 3 AKI in our COVID-19.Results: We found higher AKI incidence among patients with COVID-19 compared with the historical cohort (56.9% versus 25.1%, respectively). Patients with AKI and COVID-19 were more likely than those without COVID-19 to require RRT and were less likely to recover kidney function. Development of AKI was significantly associated with male sex, Black race, and older age (>50 years). Male sex and age >50 years associated with the composite outcome of RRT or mortality, regardless of COVID-19 status. Factors that were predictive of stage 2 or 3 AKI included initial respiratory rate, white blood cell count, neutrophil/lymphocyte ratio, and lactate dehydrogenase level.Conclusions: Patients hospitalized with COVID-19 had a higher incidence of severe AKI compared with controls. Vital signs at admission and laboratory data may be useful for risk stratification to predict severe AKI. Although male sex, Black race, and older age associated with development of AKI, these associations were not unique to COVID-19.Keywords: AKI; COVID-19; outcomes; race; risk factors; sex."
4,"COVID-19-associated acute kidney injury: consensus report of the 25th Acute Disease Quality Initiative (ADQI) Workgroup","Kidney involvement in patients with coronavirus disease 2019 (COVID-19) is common, and can range from the presence of proteinuria and haematuria to acute kidney injury (AKI) requiring renal replacement therapy (RRT; also known as kidney replacement therapy). COVID-19-associated AKI (COVID-19 AKI) is associated with high mortality and serves as an independent risk factor for all-cause in-hospital death in patients with COVID-19. The pathophysiology and mechanisms of AKI in patients with COVID-19 have not been fully elucidated and seem to be multifactorial, in keeping with the pathophysiology of AKI in other patients who are critically ill. Little is known about the prevention and management of COVID-19 AKI. The emergence of regional 'surges' in COVID-19 cases can limit hospital resources, including dialysis availability and supplies; thus, careful daily assessment of available resources is needed. In this Consensus Statement, the Acute Disease Quality Initiative provides recommendations for the diagnosis, prevention and management of COVID-19 AKI based on current literature. We also make recommendations for areas of future research, which are aimed at improving understanding of the underlying processes and improving outcomes for patients with COVID-19 AKI."
5,AKI in Hospitalized Patients with COVID-19,"Background: Early reports indicate that AKI is common among patients with coronavirus disease 2019 (COVID-19) and associated with worse outcomes. However, AKI among hospitalized patients with COVID-19 in the United States is not well described.Methods: This retrospective, observational study involved a review of data from electronic health records of patients aged ≥18 years with laboratory-confirmed COVID-19 admitted to the Mount Sinai Health System from February 27 to May 30, 2020. We describe the frequency of AKI and dialysis requirement, AKI recovery, and adjusted odds ratios (aORs) with mortality.Results: Of 3993 hospitalized patients with COVID-19, AKI occurred in 1835 (46%) patients; 347 (19%) of the patients with AKI required dialysis. The proportions with stages 1, 2, or 3 AKI were 39%, 19%, and 42%, respectively. A total of 976 (24%) patients were admitted to intensive care, and 745 (76%) experienced AKI. Of the 435 patients with AKI and urine studies, 84% had proteinuria, 81% had hematuria, and 60% had leukocyturia. Independent predictors of severe AKI were CKD, men, and higher serum potassium at admission. In-hospital mortality was 50% among patients with AKI versus 8% among those without AKI (aOR, 9.2; 95% confidence interval, 7.5 to 11.3). Of survivors with AKI who were discharged, 35% had not recovered to baseline kidney function by the time of discharge. An additional 28 of 77 (36%) patients who had not recovered kidney function at discharge did so on posthospital follow-up.Conclusions: AKI is common among patients hospitalized with COVID-19 and is associated with high mortality. Of all patients with AKI, only 30% survived with recovery of kidney function by the time of discharge.Keywords: COVID-19; acute renal failure; clinical nephrology; dialysis."
6,"Soluble Urokinase Receptor (SuPAR) in COVID-19-Related AKI","Background: AKI commonly occurs in patients with coronavirus disease 2019 (COVID-19). Its pathogenesis is poorly understood. The urokinase receptor system is a key regulator of the intersection between inflammation, immunity, and coagulation, and soluble urokinase plasminogen activator receptor (suPAR) has been identified as an immunologic risk factor for AKI. Whether suPAR is associated with COVID-19-related AKI is unknown.Methods: In a multinational observational study of adult patients hospitalized for COVID-19, we measured suPAR levels in plasma samples from 352 adult patients that had been collected within 48 hours of admission. We examined the association between suPAR levels and incident in-hospital AKI.Results: Of the 352 patients (57.4% were male, 13.9% were black, and mean age was 61 years), 91 (25.9%) developed AKI during their hospitalization, of whom 25 (27.4%) required dialysis. The median suPAR level was 5.61 ng/ml. AKI incidence rose with increasing suPAR tertiles, from a 6.0% incidence in patients with suPAR <4.60 ng/ml (first tertile) to a 45.8% incidence of AKI in patients with suPAR levels >6.86 ng/ml (third tertile). None of the patients with suPAR <4.60 ng/ml required dialysis during their hospitalization. In multivariable analysis, the highest suPAR tertile was associated with a 9.15-fold increase in the odds of AKI (95% confidence interval [95% CI], 3.64 to 22.93) and a 22.86-fold increase in the odds of requiring dialysis (95% CI, 2.77 to 188.75). The association was independent of inflammatory markers and persisted across subgroups.Conclusions: Admission suPAR levels in patients hospitalized for COVID-19 are predictive of in-hospital AKI and the need for dialysis. SuPAR may be a key component of the pathophysiology of AKI in COVID-19.Keywords: AKI; COVID-19; CRP; SARS-CoV-2; SuPAR; acute renal failure; coronavirus; dialysis; renal replacement therapy; urokinase."
7,Acute Kidney Injury in Children.,"Acute kidney injury (AKI) has become one of the more common complications seen among hospitalized children. The development of a consensus definition has helped refine the epidemiology of pediatric AKI, and we now have a far better understanding of its incidence, risk factors, and outcomes. Strategies for diagnosing AKI have extended beyond serum creatinine, and the most current data underscore the diagnostic importance of oliguria as well as introduce the concept of urinary biomarkers of kidney injury. As AKI has become more widespread, we have seen that it is associated with a number of adverse consequences including longer lengths of stay and greater mortality. Though effective treatments do not currently exist for AKI once it develops, we hope that the diagnostic and definitional strides seen recently translate to the testing and development of more effective interventions."
8,Perioperative Acute Kidney Injury.,"Perioperative organ injury is among the leading causes of morbidity and mortality of surgical patients. Among different types of perioperative organ injury, acute kidney injury occurs particularly frequently and has an exceptionally detrimental effect on surgical outcomes. Currently, acute kidney injury is most commonly diagnosed by assessing increases in serum creatinine concentration or decreased urine output. Recently, novel biomarkers have become a focus of translational research for improving timely detection and prognosis for acute kidney injury. However, specificity and timing of biomarker release continue to present challenges to their integration into existing diagnostic regimens. Despite many clinical trials using various pharmacologic or nonpharmacologic interventions, reliable means to prevent or reverse acute kidney injury are still lacking. Nevertheless, several recent randomized multicenter trials provide new insights into renal replacement strategies, composition of intravenous fluid replacement, goal-directed fluid therapy, or remote ischemic preconditioning in their impact on perioperative acute kidney injury. This review provides an update on the latest progress toward the understanding of disease mechanism, diagnosis, and managing perioperative acute kidney injury, as well as highlights areas of ongoing research efforts for preventing and treating acute kidney injury in surgical patients."
9,Acute Kidney Injury Epidemiology in pediatrics.,"We performed a search in the MEDLINE database using the MeSH term: ""Acute Kidney Injury"", selecting the subtopic ""Epidemiology"", and applying age and year of publication filters. We also searched for the terms: ""acute renal failure"" and ""epidemiology"" ""acute tubular necrosis"" and ""epidemiology"" in the title and summary fields with the same filters. In a second search, we searched in the LILACS database, with the terms: ""acute renal injury"", or ""acute renal failure"" or ""acute kidney injury"" and the age filter. All abstracts were evaluated by the authors and the articles considered most relevant, were examined in their entirety. Acute Kidney Injury (AKI) -related mortality ranged from 3-63% in the studies included in this review. AKI etiology has marked regional differences, with sepsis being the main cause in developed countries. In developing countries, primary renal diseases and hypovolemia are still a common cause of AKI."
